taxonID,Scientific.Name.with.Author,Common.Name,Genus,Family,jenkins_model
QUNE,Quercus ×neopalmeri Sudw. ex Palmer,hybrid oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUNI,Quercus nigra L.,water oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUPA,Quercus ×palaeolithicola Trel.,hybrid oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUPA5,Quercus pagoda Raf.,cherrybark oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUPH,Quercus phellos L.,willow oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QURU,Quercus rubra L.,northern red oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QURUR,Quercus rubra L. var. rubra,northern red oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUST,Quercus stellata Wangenh.,post oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
QUVE,Quercus velutina Lam.,black oak,Quercus,Fagaceae,hard maple/oak/hickory/beech
RHMA4,Rhododendron maximum L.,great laurel,Rhododendron,Ericaceae,woodland
ROPS,Robinia pseudoacacia L.,black locust,Robinia,Fabaceae,mixed hardwood
SAAL5,Sassafras albidum (Nutt.) Nees,sassafras,Sassafras,Lauraceae,mixed hardwood
SALIX,Salix L.,willow,Salix,Salicaceae,mixed hardwood
SAMI8,Sabal minor (Jacq.) Pers.,dwarf palmetto,Sabal,Arecaceae,woodland
SANI4,Sambucus nigra L.,black elderberry,Sambucus,Caprifoliaceae,mixed hardwood
SERE2,Serenoa repens (W. Bartram) Small,saw palmetto,Serenoa,Arecaceae,woodland
SOAM3,Sorbus americana Marshall,American mountain ash,Sorbus,Rosaceae,mixed hardwood
TADI2,Taxodium distichum (L.) Rich.,bald cypress,Taxodium,Cupressaceae,cedar/larch
TIAM,Tilia americana L.,American basswood,Tilia,Tiliaceae,mixed hardwood
TSCA,Tsuga canadensis (L.) Carrière,eastern hemlock,Tsuga,Pinaceae,fir/hemlock
ULAL,Ulmus alata Michx.,winged elm,Ulmus,Ulmaceae,mixed hardwood
ULAM,Ulmus americana L.,American elm,Ulmus,Ulmaceae,mixed hardwood
ULMUS,Ulmus L.,elm,Ulmus,Ulmaceae,mixed hardwood
ULRU,Ulmus rubra Muhl.,slippery elm,Ulmus,Ulmaceae,mixed hardwood
VAAR,Vaccinium arboreum Marshall,farkleberry,Vaccinium,Ericaceae,woodland
VACCI,Vaccinium L.,blueberry,Vaccinium,Ericaceae,woodland
VACO,Vaccinium corymbosum L.,highbush blueberry,Vaccinium,Ericaceae,woodland
VIAC,Viburnum acerifolium L.,mapleleaf viburnum,Viburnum,Caprifoliaceae,woodland
VIBUR,Viburnum L.,viburnum,Viburnum,Caprifoliaceae,woodland
VILA,Viburnum lantana L.,wayfaringtree,Viburnum,Caprifoliaceae,woodland
VILA11,Viburnum lantanoides Michx.,hobblebush,Viburnum,Caprifoliaceae,woodland
VINU,Viburnum nudum L.,possumhaw,Viburnum,Caprifoliaceae,woodland
VIPR,Viburnum prunifolium L.,blackhaw,Viburnum,Caprifoliaceae,woodland
2PLANT,,,,,mixed hardwood
2PLANT-H,,,,,
2PLANT-S,,,,,
ABAM,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Abies,Pinaceae,fir/hemlock
ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Abies,Pinaceae,fir/hemlock
ABFR,Abies fraseri (Pursh) Poir.,Fraser fir,Abies,Pinaceae,fir/hemlock
ABGR,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Abies,Pinaceae,fir/hemlock
ABIES,Abies Mill.,fir,Abies,Pinaceae,fir/hemlock
ABLAL,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Abies,Pinaceae,fir/hemlock
ABLO,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Abies,Pinaceae,fir/hemlock
ABMA,Abies magnifica A. Murray bis,California red fir,Abies,Pinaceae,fir/hemlock
ABPR,Abies nobilis (Douglas ex D. Don) Lindl.,noble fir,Abies,Pinaceae,fir/hemlock
ACCI,Acer circinatum Pursh,vine maple,,Aceraceae,soft maple/birch
ACERAC,aceraceae sp.,,,Aceraceae,soft maple/birch
ACFA,Vachellia farnesiana,sweet acacia,,Vachellia,mixed hardwood
ACGL,Acer glabrum Torr.,Rocky Mountain maple,,Aceraceae,soft maple/birch
ACGLD4,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,,Aceraceae,soft maple/birch
ACKO,Acacia kauaiensis Hillebr.,,,Acacia,mixed hardwood
ACMA3,Acer macrophyllum Pursh,bigleaf maple,,Aceraceae,soft maple/birch
ACNEN,,,,,
ACRE4,,,,,
ADRI,,,,,
ADTR2,,,,,
AECA,,,,,
AEPA2,,,,,
AIAL,,,,,
ALIN2,,,,,
ALINT,,,,,
ALRU2,,,,,
ALST11,,,,,
ALVI5,,,,,
ALWR,,,,,
AMAL2,,,,,
AMAR5,,,,,
AMCO2,,,,,
AMEL,,,,,
AMFR,,,,,
AMIN2,,,,,
AMMU2,,,,,
ANAC4,,,,,
ANAL12,,,,,
ANIN,,,,,
ANTH2,,,,,
APOCYN,,,,,
AQUIFO,,,,,
AQUIFOSPP,,,,,
ARCO3,,,,,
ARFA,,,,,
ARFI2,,,,,
ARNE,,,,,
ARNO4,,,,,
ARPA6,,,,,
ARTR,,,,,
ARTR2,,,,,
ARTRT2,,,,,
ARVIM,,,,,
ASAN6,,,,,
ASIMI,,,,,
ASIN,,,,,
ASPA18,,,,,
ATCA2,,,,,
ATCO,,,,,
BABR,,,,,
BECAC,,,,,
BEDI2,,,,,
BEGL,,,,,
BEGL/BENA,,,,,
BENE4,,,,,
BEOC2,,,,,
BEPU4,,,,,
BERA3,,,,,
BESC,,,,,
BETH,,,,,
BETULA,,,,,
BICA,,,,,
BIGNO,,,,,
BIGNON,,,,,
BOSU2,,,,,
BOURR,,,,,
BRAR6,,,,,
BROV4,,,,,
BUBU,,,,,
BUCA15,,,,,
BUGL,,,,,
BUMI6,,,,,
BUSI,,,,,
BUTIA,,,,,
CAAC3,,,,,
CACA,,,,,
CACA38,,,,,
CACAV,,,,,
CACY,,,,,
CADE27,,,,,
CADE8,,,,,
CAFL2,,,,,
CAGI10,,,,,
CAHA9,,,,,
CAIL2,,,,,
CAIN5,,,,,
CAOD3,,,,,
CAPA43,,,,,
CARA2,,,,,
CASTA,,,,,
CASY2,,,,,
CAWI,,,,,
CAXY,,,,,
CEANO,,,,,
CECA,,,,,
CECO,,,,,
CECU,,,,,
CEEH,,,,,
CEER3,,,,,
CEHE,,,,,
CEIN3,,,,,
CELE2,,,,,
CEMOG,,,,,
CENI,,,,,
CEOC2,,,,,
CEOR7,,,,,
CEPHA,,,,,
CHAL8,,,,,
CHFO,,,,,
CHSE11,,,,,
CHSI,,,,,
CHTR2,,,,,
CHVI8,,,,,
CIBOT,,,,,
CIGL,,,,,
CIME8,,,,,
CITR2,,,,,
CLERM,,,,,
CLKE,,,,,
CLMO5,,,,,
CLTE3,,,,,
COAL2,,,,,
COAM,,,,,
COAM3,,,,,
COAR3,,,,,
COBA3,,,,,
COCA,,,,,
COCCO,,,,,
COCO5,,,,,
COCOC,,,,,
COCOC2,,,,,
CODI8,,,,,
CODO,,,,,
CODR,,,,,
COEL2,,,,,
COER3,,,,,
COKR,,,,,
COLUB,,,,,
COMI,,,,,
COMO3,,,,,
CONSO2SPP,,,,,
CONU4,,,,,
CONVOL,,,,,
COOC3,,,,,
COPE80,,,,,
COPRO,,,,,
COPROSPP,,,,,
COROR,,,,,
COROS,,,,,
COSE16,,,,,
CRATASPP,,,,,
CRBE4,,,,,
CRCH,,,,,
CRCR2,,,,,
CRDI8,,,,,
CRFL2,,,,,
CRFL23,,,,,
CRLU2,,,,,
CRMA3,,,,,
CROSS,,,,,
CROTO,,,,,
CRRH,,,,,
CRSP,,,,,
CRUN,,,,,
CYFU10,,,,,
CYIM2,,,,,
CYLE8,,,,,
CYLIN2,,,,,
CYLY2,,,,,
CYPA12,,,,,
CYPL5,,,,,
CYSP8,,,,,
DAFR6,,,,,
DAFRF,,,,,
DAWR2,,,,,
DIFR6,,,,,
DILA10,,,,,
DIOSP,,,,,
DIPA9,,,,,
DUSC,,,,,
ECFA,,,,,
ECFE,,,,,
ELAN,,,,,
ELCO,,,,,
ENFA,,,,,
ENFR,,,,,
EPTR,,,,,
EPVI,,,,,
ERAR17,,,,,
ERBR11,,,,,
ERFR4,,,,,
ERICAC,,,,,
ERLA12,,,,,
ERNAN5,,,,,
ERRO3,,,,,
EUAM9,,,,,
EUAT5,,,,,
EUAX,,,,,
EUFO3,,,,,
EUFO5,,,,,
EUGEN,,,,,
EULI,,,,,
EURH,,,,,
EUXE,,,,,
EXCA,,,,,
FABACE,,,,,
FAGACE,,,,,
FAGUS,,,,,
FEWI,,,,,
FICI,,,,,
FOAC,,,,,
FOSP2,,,,,
FRAM2/FRPE,,,,,
FRAR,,,,,
FRCA3,,,,,
FRCA6,,,,,
FRCAC7,,,,,
FRPR,,,,,
FRPU7,,,,,
FRUH,,,,,
GABA,,,,,
GADU,,,,,
GAFR2,,,,,
GASH,,,,,
GAST2,,,,,
GESE,,,,,
GIBI2,,,,,
GLTR,,,,,
GOLA,,,,,
GUAIA,,,,,
GUEL,,,,,
GUKR,,,,,
GUMI,,,,,
GUOB,,,,,
GUOF,,,,,
GUSA,,,,,
GUSA2,,,,,
GYDI,,,,,
GYLU,,,,,
HACA2,,,,,
HACA3,,,,,
HAVI2,,,,,
HAVI4,,,,,
HEHE,,,,,
HEJA,,,,,
HEPU17,,,,,
HETE21,,,,,
HILA2,,,,,
HODI,,,,,
HYAR,,,,,
HYBR3,,,,,
HYDRAN,,,,,
HYTR2,,,,,
HYUN3,,,,,
ILAN,,,,,
ILAQ80,,,,,
ILCA,,,,,
ILCO,,,,,
ILDE,,,,,
ILFL,,,,,
ILGL,,,,,
ILMY,,,,,
IPST2,,,,,
ISTE2,,,,,
ITVI,,,,,
JAAM,,,,,
JABE,,,,,
JACQU,,,,,
JACQU2,,,,,
JACU3,,,,,
JAFL,,,,,
JUCO6,,,,,
JUCOD,,,,,
JUGLAN,,,,,
JUOS,,,,,
JUSC2,,,,,
JUVIV,,,,,
KRFE,,,,,
KRLA2,,,,,
LACA2,,,,,
LAEX,,,,,
LAGR,,,,,
LAHE2,,,,,
LAMIAC,,,,,
LANTA,,,,,
LARE2,,,,,
LARIX,,,,,
LATR2,,,,,
LEBI2,,,,,
LEGR,,,,,
LEHI2,,,,,
LELE10,,,,,
LEMO5,,,,,
LEPA11,,,,,
LEQU,,,,,
LIBEB,,,,,
LIJA,,,,,
LIOB,,,,,
LISI,,,,,
LIST,,,,,
LIVU,,,,,
LOCA7,,,,,
LOGANI,,,,,
LOIN4,,,,,
LOJA,,,,,
LOMA6,,,,,
LOMO2,,,,,
LONIC,,,,,
LUAL4,,,,,
LYBE,,,,,
LYCIU,,,,,
LYEX,,,,,
LYFE,,,,,
LYLI,,,,,
LYLIL,,,,,
LYLU3,,,,,
LYONI,,,,,
MAGR4,,,,,
MAGR9,,,,,
MAIN3,,,,,
MANE2,,,,,
MAPO,,,,,
MAPO5,,,,,
MAPO6,,,,,
MAUN3,,,,,
MEBI,,,,,
MECL,,,,,
MEFE,,,,,
MELIC3,,,,,
MEPO5,,,,,
MERA2,,,,,
MOAL,,,,,
MOCE2,,,,,
MORU,,,,,
MORUS,,,,,
MUEX2,,,,,
MYLE2,,,,,
MYSA,,,,,
MYSA2,,,,,
NEON-REVI,,,,,
NYBI,,,,,
NYSSA,,,,,
OECE,,,,,
OLEACE,,,,,
OPEN3,,,,,
OPMA8,,,,,
OPPH,,,,,
OPUNT,,,,,
PAFL6,,,,,
PAIN2,,,,,
PAQU,,,,,
PAQU2,,,,,
PEAM3,,,,,
PEBO,,,,,
PEGR3,,,,,
PEPA37,,,,,
PESA3,,,,,
PHEP,,,,,
PHHI2,,,,,
PHPY4,,,,,
PIAC,,,,,
PIAL,,,,,
PIAL3,,,,,
PICEA,,,,,
PICL,,,,,
PICO,,,,,
PICOL,,,,,
PIDU,,,,,
PIED,,,,,
PIEL,,,,,
PIEN,,,,,
PIFL2,,,,,
PIJE,,,,,
PILA,,,,,
PIMO3,,,,,
PINACE,,,,,
PIPO,,,,,
PIPOS,,,,,
PIRO6,,,,,
PISA2,,,,,
PISTA,,,,,
PIUN,,,,,
PLAL,,,,,
PLAQ,,,,,
POBA2,,,,,
PODE3,,,,,
POFL20,,,,,
POPA34,,,,,
POPUL,,,,,
POSE,,,,,
PRAM,,,,,
PRAN3,,,,,
PREM,,,,,
PRENA,,,,,
PRGL2,,,,,
PRJU3,,,,,
PRME,,,,,
PRPE2,,,,,
PRPEP,,,,,
PRSE,,,,,
PRSES,,,,,
PRUM,,,,,
PRVE,,,,,
PSCA,,,,,
PSHA3,,,,,
PSME,,,,,
PSMEM,,,,,
PUST,,,,,
PUTR2,,,,,
PYCA80,,,,,
PYPU,,,,,
PYRUS,,,,,
QUCH,,,,,
QUCH2,,,,,
QUDO,,,,,
QUEL,,,,,
QUERCSPP,,,,,
QUFU,,,,,
QUHE,,,,,
QUIN,,,,,
QUIN7,,,,,
QUKE,,,,,
QULA,,,,,
QUMA13,,,,,
QUMA2,,,,,
QUMI2,,,,,
QUMU,,,,,
QUMY,,,,,
QUPA2,,,,,
QUPU80,,,,,
QUSH,,,,,
QUVI,,,,,
QUWI2,,,,,
RAAC,,,,,
RAPO2,,,,,
REGU,,,,,
REUN,,,,,
RHAL,,,,,
RHAMNA,,,,,
RHAR4,,,,,
RHCA4,,,,,
RHCA7,,,,,
RHCO,,,,,
RHDA,,,,,
RHGL,,,,,
RHIL,,,,,
RHODO,,,,,
RHPE4,,,,,
RHSC3,,,,,
RHTY,,,,,
RHUS,,,,,
RIBES,,,,,
RICE,,,,,
RIGL,,,,,
RIMI,,,,,
RIRO,,,,,
ROAC2,,,,,
ROAR3,,,,,
ROGY,,,,,
ROIN4,,,,,
ROMU,,,,,
ROSACE,,,,,
ROSE2,,,,,
ROWO,,,,,
RUAL,,,,,
RUAR9,,,,,
RUBUS,,,,,
RUHA,,,,,
RULA,,,,,
RULE,,,,,
RUOC,,,,,
RUOK,,,,,
RUPA,,,,,
RUPE3,,,,,
RUPH,,,,,
RUSP,,,,,
SAAL,,,,,
SABE2,,,,,
SACA4,,,,,
SACY3,,,,,
SADLE,,,,,
SAET,,,,,
SAGL,,,,,
SAHA,,,,,
SALICA,,,,,
SAMBU,,,,,
SAMY,,,,,
SANI,,,,,
SANIC4,,,,,
SANIC5,,,,,
SAPA11,,,,,
SAPE2,,,,,
SAPE5,,,,,
SAPU15,,,,,
SAPU15/SARI4,,,,,
SAPY,,,,,
SARA2,,,,,
SARA2/SANI4,,,,,
SARI4,,,,,
SASC,,,,,
SASE6,,,,,
SASO2,,,,,
SASSA,,,,,
SAVE4,,,,,
SCFR,,,,,
SEFL3,,,,,
SEGR4,,,,,
SEPO4,,,,,
SESI3,,,,,
SHAR,,,,,
SHCA,,,,,
SIDER2,,,,,
SILA20,,,,,
SILAL3,,,,,
SILY,,,,,
SIOB,,,,,
SISA6,,,,,
SITE2,,,,,
SMAU,,,,,
SMGL,,,,,
SMILA2,,,,,
SMLA,,,,,
SMRO,,,,,
SMSM,,,,,
SPAL2,,,,,
SPALL,,,,,
SPDOD,,,,,
SPST3,,,,,
STAM4,,,,,
STEM3,,,,,
STFL5,,,,,
STTA,,,,,
SWMA2,,,,,
SYAL,,,,,
SYOC,,,,,
SYOR,,,,,
SYTI,,,,,
TABR2,,,,,
TAHE,,,,,
TAXUS,,,,,
TECA2,,,,,
TEDA,,,,,
TEGL,,,,,
TETRA3,,,,,
THOC2,,,,,
THPL,,,,,
THSTP,,,,,
TODI,,,,,
TORA2,,,,,
TOVE,,,,,
TOVO,,,,,
TRDA3,,,,,
TRSE6,,,,,
TSHE,,,,,
TUDI,,,,,
ULCR,,,,,
ULMACE,,,,,
ULMUSSPP,,,,,
ULPU,,,,,
VACA8,,,,,
VACO9,,,,,
VAEL,,,,,
VAFU,,,,,
VAME,,,,,
VAMY,,,,,
VAMY3,,,,,
VAOV,,,,,
VAPA,,,,,
VAPA4,,,,,
VARE,,,,,
VAST,,,,,
VAUL,,,,,
VAVI2,,,,,
VEAR2,,,,,
VIAE,,,,,
VICI2,,,,,
VILA8,,,,,
VINUC,,,,,
VIRI,,,,,
VIRO2,,,,,
VIRO3,,,,,
VIRU,,,,,
VITIS,,,,,
VITISSPP,,,,,
WEFR,,,,,
WISA,,,,,
WISTE,,,,,
YUEL,,,,,
ZAAM,,,,,
ZAPO2,,,,,
ZIAC,,,,,
ZIOB,,,,,
ZIRE,,,,,
