"taxonID","FIA.Code","Common.Name","match","issue"
"FRPU7",NA,"Cascara buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"PREM",768,"bitter cherry",0,"No matching allometry from Chojnacky et al. (2014)"
"2PLANT",NA,"",0,"No matching allometry from Chojnacky et al. (2014)"
"FRAXI",NA,"ash",0,"No matching allometry from Chojnacky et al. (2014)"
"PINUS",NA,"pine",0,"No matching allometry from Chojnacky et al. (2014)"
"AIAL",341,"tree of heaven",0,"No matching allometry from Chojnacky et al. (2014)"
"ASTR",367,"pawpaw",0,"No matching allometry from Chojnacky et al. (2014)"
"CACO15",402,"bitternut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CAGL8",403,"pignut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CAOV3",412,"red hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CARYA",NA,"hybrid hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CATO6",NA,"mockernut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CEOC",462,"common hackberry",0,"No matching allometry from Chojnacky et al. (2014)"
"GIBI2",561,"maidenhair tree",0,"No matching allometry from Chojnacky et al. (2014)"
"GLTR",552,"honeylocust",0,"No matching allometry from Chojnacky et al. (2014)"
"JUNI",602,"black walnut",0,"No matching allometry from Chojnacky et al. (2014)"
"JUVIV",NA,"eastern redcedar",0,"No matching allometry from Chojnacky et al. (2014)"
"LIBE3",NA,"northern spicebush",0,"No matching allometry from Chojnacky et al. (2014)"
"MAPO",641,"Osage-orange",0,"No matching allometry from Chojnacky et al. (2014)"
"PRAV",771,"sweet cherry",0,"No matching allometry from Chojnacky et al. (2014)"
"RHDA",NA,"Dahurian buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"TEDA",NA,"bee-bee tree",0,"No matching allometry from Chojnacky et al. (2014)"
"VIPR",NA,"blackhaw",0,"No matching allometry from Chojnacky et al. (2014)"
"SABE2",NA,"Bebb willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SALIX",NA,"willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SAPU15",926,"tealeaf willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SASC",926,"Scouler's willow",0,"No matching allometry from Chojnacky et al. (2014)"
"CECA4",471,"eastern redbud",0,"No matching allometry from Chojnacky et al. (2014)"
"CELA",461,"sugarberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CELTI",NA,"hackberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CODR",NA,"roughleaf dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"FRCA13",NA,"Carolina buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"ILDE",NA,"possumhaw",0,"No matching allometry from Chojnacky et al. (2014)"
"MORU2",682,"red mulberry",0,"No matching allometry from Chojnacky et al. (2014)"
"PRAN3",NA,"Chickasaw plum",0,"No matching allometry from Chojnacky et al. (2014)"
"ULAL",971,"winged elm",0,"No matching allometry from Chojnacky et al. (2014)"
"ULCR",973,"cedar elm",0,"No matching allometry from Chojnacky et al. (2014)"
"CAAM2",NA,"American beautyberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CAAQ2",401,"water hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"COFO",NA,"stiff dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"DIVI5",521,"common persimmon",0,"No matching allometry from Chojnacky et al. (2014)"
"HAVI2",NA,"beggarslice",0,"No matching allometry from Chojnacky et al. (2014)"
"ILVO",7469,"yaupon",0,"No matching allometry from Chojnacky et al. (2014)"
"LIJA",7577,"Japanese privet",0,"No matching allometry from Chojnacky et al. (2014)"
"LISI",NA,"Chinese privet",0,"No matching allometry from Chojnacky et al. (2014)"
"MALUS",660,"apple",0,"No matching allometry from Chojnacky et al. (2014)"
"MEAZ",993,"Chinaberrytree",0,"No matching allometry from Chojnacky et al. (2014)"
"NYBI",694,"swamp tupelo",0,"No matching allometry from Chojnacky et al. (2014)"
"PLAQ",722,"planertree",0,"No matching allometry from Chojnacky et al. (2014)"
"SANI",922,"black willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SANI4",NA,"black elderberry",0,"No matching allometry from Chojnacky et al. (2014)"
"SYTI",NA,"common sweetleaf",0,"No matching allometry from Chojnacky et al. (2014)"
"TADI2",221,"bald cypress",0,"No matching allometry from Chojnacky et al. (2014)"
"CLKE",481,"Kentucky yellowwood",0,"No matching allometry from Chojnacky et al. (2014)"
"HATE3",NA,"mountain silverbell",0,"No matching allometry from Chojnacky et al. (2014)"
"ILOP",591,"American holly",0,"No matching allometry from Chojnacky et al. (2014)"
"KALA",NA,"mountain laurel",0,"No matching allometry from Chojnacky et al. (2014)"
"MAAC",651,"cucumber tree",0,"No matching allometry from Chojnacky et al. (2014)"
"MATR",658,"umbrella-tree",0,"No matching allometry from Chojnacky et al. (2014)"
"PIPU5",123,"Table Mountain pine",0,"No matching allometry from Chojnacky et al. (2014)"
"PIVI2",132,"Virginia pine",0,"No matching allometry from Chojnacky et al. (2014)"
"ULRU",975,"slippery elm",0,"No matching allometry from Chojnacky et al. (2014)"
"ACFA",303,"sweet acacia",0,"No matching allometry from Chojnacky et al. (2014)"
"BOSU2",6255,"bodywood",0,"No matching allometry from Chojnacky et al. (2014)"
"BOURR",NA,"strongbark",0,"No matching allometry from Chojnacky et al. (2014)"
"BUBU",6284,"gregorywood",0,"No matching allometry from Chojnacky et al. (2014)"
"CODI8",863,"tietongue",0,"No matching allometry from Chojnacky et al. (2014)"
"ERAR17",7019,"swamp-redwood",0,"No matching allometry from Chojnacky et al. (2014)"
"EUFO3",NA,"boxleaf stopper",0,"No matching allometry from Chojnacky et al. (2014)"
"EURH",873,"red stopper",0,"No matching allometry from Chojnacky et al. (2014)"
"GUOB",7286,"corcho prieto",0,"No matching allometry from Chojnacky et al. (2014)"
"JABE",7487,"bois bande",0,"No matching allometry from Chojnacky et al. (2014)"
"KRFE",7514,"leadwood",0,"No matching allometry from Chojnacky et al. (2014)"
"LELE10",7565,"white leadtree",0,"No matching allometry from Chojnacky et al. (2014)"
"PIAC",8169,"fustic",0,"No matching allometry from Chojnacky et al. (2014)"
"PIAL3",8211,"corcho bobo",0,"No matching allometry from Chojnacky et al. (2014)"
"PIUN",8223,"catclaw blackbead",0,"No matching allometry from Chojnacky et al. (2014)"
"PLAL",8266,"nosegaytree",0,"No matching allometry from Chojnacky et al. (2014)"
"REGU",8444,"guama",0,"No matching allometry from Chojnacky et al. (2014)"
"REUN",8447,"sloe",0,"No matching allometry from Chojnacky et al. (2014)"
"ROAC2",8476,"greenheart ebony",0,"No matching allometry from Chojnacky et al. (2014)"
"SESI3",8596,"Siamese cassia",0,"No matching allometry from Chojnacky et al. (2014)"
"SWMA2",940,"West Indian mahogany",0,"No matching allometry from Chojnacky et al. (2014)"
"TAHE",8713,"white cedar",0,"No matching allometry from Chojnacky et al. (2014)"
"ZAPO2",8938,"white stickpea",0,"No matching allometry from Chojnacky et al. (2014)"
"CASTA",NA,"chestnut",0,"No matching allometry from Chojnacky et al. (2014)"
"CORNU",NA,"dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"ILEX",591,"holly",0,"No matching allometry from Chojnacky et al. (2014)"
"ILMU",NA,"catberry",0,"No matching allometry from Chojnacky et al. (2014)"
"KALMI",NA,"laurel",0,"No matching allometry from Chojnacky et al. (2014)"
"FRCA3",548,"Carolina ash",0,"No matching allometry from Chojnacky et al. (2014)"
"LEBI2",6052,"shrub lespedeza",0,"No matching allometry from Chojnacky et al. (2014)"
"PRAM",766,"American plum",0,"No matching allometry from Chojnacky et al. (2014)"
"ULPU",974,"Siberian elm",0,"No matching allometry from Chojnacky et al. (2014)"
"ZAAM",NA,"common pricklyash",0,"No matching allometry from Chojnacky et al. (2014)"
"COCO5",6731,"red manjack",0,"No matching allometry from Chojnacky et al. (2014)"
"PIDU",8220,"monkeypod",0,"No matching allometry from Chojnacky et al. (2014)"
"FOAC",NA,"eastern swampprivet",0,"No matching allometry from Chojnacky et al. (2014)"
"HADI3",582,"two-wing silverbell",0,"No matching allometry from Chojnacky et al. (2014)"
"PIGL2",115,"spruce pine",0,"No matching allometry from Chojnacky et al. (2014)"
"ILMO",NA,"mountain holly",0,"No matching allometry from Chojnacky et al. (2014)"
"JUCOD",NA,"common juniper",0,"No matching allometry from Chojnacky et al. (2014)"
"PIFL2",113,"limber pine",0,"No matching allometry from Chojnacky et al. (2014)"
"ELAN",997,"Russian olive",0,"No matching allometry from Chojnacky et al. (2014)"
"PUST",NA,"Stansbury cliffrose",0,"No matching allometry from Chojnacky et al. (2014)"
"ELUM",2038,"autumn olive",0,"No matching allometry from Chojnacky et al. (2014)"
"PYCA80",8421,"Callery pear",0,"No matching allometry from Chojnacky et al. (2014)"
"GOLA",555,"loblolly bay",0,"No matching allometry from Chojnacky et al. (2014)"
"ILCA",7455,"dahoon",0,"No matching allometry from Chojnacky et al. (2014)"
"ILCO",NA,"large gallberry",0,"No matching allometry from Chojnacky et al. (2014)"
"ILGL",NA,"inkberry",0,"No matching allometry from Chojnacky et al. (2014)"
"ILMY",NA,"myrtle dahoon",0,"No matching allometry from Chojnacky et al. (2014)"
"MOCE2",7845,"wax myrtle",0,"No matching allometry from Chojnacky et al. (2014)"
"PEPA37",6511,"swamp bay",0,"No matching allometry from Chojnacky et al. (2014)"
"PICL",107,"sand pine",0,"No matching allometry from Chojnacky et al. (2014)"
"ACKO",6006,"koa",0,"No matching allometry from Chojnacky et al. (2014)"
"CHTR2",6514,"olapalapa",0,"No matching allometry from Chojnacky et al. (2014)"
"CLERM",6628,"clermontia",0,"No matching allometry from Chojnacky et al. (2014)"
"CLMO5",6615,"Mauna Loa clermontia",0,"No matching allometry from Chojnacky et al. (2014)"
"FRUH",7206,"shamel ash",0,"No matching allometry from Chojnacky et al. (2014)"
"ILAN",7453,"Hawai'i holly",0,"No matching allometry from Chojnacky et al. (2014)"
"MEPO5",7783,"'ohi'a lehua",0,"No matching allometry from Chojnacky et al. (2014)"
"MYLE2",7922,"kolea lau nui",0,"No matching allometry from Chojnacky et al. (2014)"
"MYSA2",7926,"kokea lau li'i",0,"No matching allometry from Chojnacky et al. (2014)"
"PSCA",8355,"strawberry guava",0,"No matching allometry from Chojnacky et al. (2014)"
"WISA",8897,"variableleaf false ohelo",0,"No matching allometry from Chojnacky et al. (2014)"
"PIPOS",NA,"ponderosa pine",0,"No matching allometry from Chojnacky et al. (2014)"
"CECAC",471,"eastern redbud",0,"No matching allometry from Chojnacky et al. (2014)"
"PATO2",712,"princesstree",0,"No matching allometry from Chojnacky et al. (2014)"
"PYRUS",8420,"pear",0,"No matching allometry from Chojnacky et al. (2014)"
"ARSP2",NA,"devil's walkingstick",0,"No matching allometry from Chojnacky et al. (2014)"
"AECA",333,"California buckeye",0,"No matching allometry from Chojnacky et al. (2014)"
"PISA2",127,"California foothill pine",0,"No matching allometry from Chojnacky et al. (2014)"
"RHIL",NA,"hollyleaf redberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CEMOG",478,"birchleaf mountain mahogany",0,"No matching allometry from Chojnacky et al. (2014)"
"FRCA6",NA,"California flannelbush",0,"No matching allometry from Chojnacky et al. (2014)"
"QUCH2",805,"canyon live oak",0,"No matching allometry from Chojnacky et al. (2014)"
"VACO9",NA,"whitethorn acacia",0,"No matching allometry from Chojnacky et al. (2014)"
"DIPA9",NA,"eastern leatherwood",0,"No matching allometry from Chojnacky et al. (2014)"
"ILVE",NA,"common winterberry",0,"No matching allometry from Chojnacky et al. (2014)"
"POPUL",NA,"cottonwood",0,"No matching allometry from Chojnacky et al. (2014)"
"MAMA2",654,"bigleaf magnolia",0,"No matching allometry from Chojnacky et al. (2014)"
"NYSSA",690,"tupelo",0,"No matching allometry from Chojnacky et al. (2014)"
"PEBO",721,"redbay",0,"No matching allometry from Chojnacky et al. (2014)"
"VINU",NA,"possumhaw",0,"No matching allometry from Chojnacky et al. (2014)"
"GYDI",571,"Kentucky coffeetree",0,"No matching allometry from Chojnacky et al. (2014)"
"MOAL",681,"white mulberry",0,"No matching allometry from Chojnacky et al. (2014)"
"MORUS",NA,"mulberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CONU4",492,"Pacific dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"TABR2",231,"Pacific yew",0,"No matching allometry from Chojnacky et al. (2014)"
"2PLANT-S",NA,"",1,"No matching allometry"
"HAVI4",7331,"American witchhazel",1,"No matching allometry"
NA,NA,NA,1,"No matching allometry"
"CEOR7",3026,"Oriental bittersweet",1,"No matching allometry"
"LOMA6",NA,"Amur honeysuckle",1,"No matching allometry"
"PISTA",NA,"pistache",1,"No matching allometry"
"RHCO",NA,"winged sumac",1,"No matching allometry"
"SILA20",NA,"gum bully",1,"No matching allometry"
"ULMACE",NA,NA,1,"No matching allometry"
"VITIS",NA,"grape",1,"No matching allometry"
"CEOC2",5432,"common buttonbush",1,"No matching allometry"
"COCA",NA,"Carolina coralbead",1,"No matching allometry"
"MORU",NA,"redpurple beebalm",1,"No matching allometry"
"TORA2",NA,"eastern poison ivy",1,"No matching allometry"
"TRSE6",994,"Chinese tallow",1,"No matching allometry"
"ULMUSSPP",NA,NA,1,"No matching allometry"
"VEAR2",NA,"coastal plain crownbeard",1,"No matching allometry"
"VIRO3",NA,"muscadine",1,"No matching allometry"
"PYPU",NA,"buffalo nut",1,"No matching allometry"
"2PLANT-H",NA,"",1,"No matching allometry"
"ACRE4",NA,"catch and keep",1,"No matching allometry"
"AMEL",852,"sea torchwood",1,"No matching allometry"
"BUGL",6295,"cafe forastero",1,"No matching allometry"
"BUMI6",NA,"buxbaumia moss",1,"No matching allometry"
"BUSI",854,"gumbo limbo",1,"No matching allometry"
"CACY",6386,"Jamaican caper",1,"No matching allometry"
"CAHA9",6389,"broadleaf caper",1,"No matching allometry"
"CAIN5",6390,"linguam",1,"No matching allometry"
"CRLU2",NA,"firebush",1,"No matching allometry"
"CROSS",6767,"crossopetalum",1,"No matching allometry"
"CROTO",NA,"croton",1,"No matching allometry"
"DILA10",NA,"liana fragante",1,"No matching allometry"
"EXCA",7135,"Caribbean princewood",1,"No matching allometry"
"FABACE",NA,NA,1,"No matching allometry"
"GUKR",7300,"frogwood",1,"No matching allometry"
"GUOF",7279,"lignum-vitae",1,"No matching allometry"
"GUSA",7280,"holywood",1,"No matching allometry"
"GYLU",7317,"oysterwood",1,"No matching allometry"
"HEPU17",NA,"bull withe",1,"No matching allometry"
"JACQU",NA,"clustervine",1,"No matching allometry"
"RAPO2",NA,"Puerto Rico indigoberry",1,"No matching allometry"
"SCFR",8554,"Florida boxwood",1,"No matching allometry"
"SIOB",8613,"breakbill",1,"No matching allometry"
"SISA6",891,"white bully",1,"No matching allometry"
"THSTP",8794,"Puerto Rico ceboruquillo",1,"No matching allometry"
"PINACE",NA,NA,1,"No matching allometry"
"PRENA",NA,"rattlesnakeroot",1,"No matching allometry"
"BETULA",NA,NA,1,"No matching allometry"
"LIST",NA,"ridged yellow flax",1,"No matching allometry"
"QUERCSPP",NA,NA,1,"No matching allometry"
"SILAL3",381,"gum bully",1,"No matching allometry"
"SMSM",NA,"lanceleaf greenbrier",1,"No matching allometry"
"RHAR4",NA,"fragrant sumac",1,"No matching allometry"
"ANIN",6114,"cabbagebark tree",1,"No matching allometry"
"MAIN3",885,"mango",1,"No matching allometry"
"MEBI",7717,"Spanish lime",1,"No matching allometry"
"CARA2",998,"trumpet creeper",1,"No matching allometry"
"ITVI",NA,"Virginia sweetspire",1,"No matching allometry"
"PAQU2",NA,"Virginia creeper",1,"No matching allometry"
"RHPE4",NA,"pink azalea",1,"No matching allometry"
"LOJA",NA,"Japanese honeysuckle",1,"No matching allometry"
"RHGL",NA,"smooth sumac",1,"No matching allometry"
"VIRU",NA,"rusty blackhaw",1,"No matching allometry"
"LYFE",NA,"rusty staggerbush",1,"No matching allometry"
"LYLU3",NA,"fetterbush lyonia",1,"No matching allometry"
"ALST11",NA,"maile",1,"No matching allometry"
"CIGL",6547,"hapu'u",1,"No matching allometry"
"COOC3",6720,"Maui mirrorplant",1,"No matching allometry"
"COPRO",6724,"mirrorplant",1,"No matching allometry"
"COPROSPP",NA,NA,1,"No matching allometry"
"HETE21",7346,"variable starviolet",1,"No matching allometry"
"MECL",7724,"kukaemoa",1,"No matching allometry"
"MELIC3",7754,"melicope",1,"No matching allometry"
"MERA2",7749,"kapu melicope",1,"No matching allometry"
"MYSA",7883,"naio",1,"No matching allometry"
"PESA3",8131,"olomea",1,"No matching allometry"
"PSHA3",8373,"kopiko 'ula",1,"No matching allometry"
"BETH",NA,"Japanese barberry",1,"No matching allometry"
"ROMU",NA,"multiflora rose",1,"No matching allometry"
"CELE2",NA,"chaparral whitethorn",1,"No matching allometry"
"TODI",NA,"Pacific poison oak",1,"No matching allometry"
"CADE8",NA,"dense sedge",1,"No matching allometry"
"CEIN3",NA,"deerbrush",1,"No matching allometry"
"FRAM2/FRPE",NA,NA,1,"No matching allometry"
"POSE",NA,"Sandberg bluegrass",1,"No matching allometry"
"PRSE",NA,"cankerweed",1,"No matching allometry"
"ILFL",NA,"Florida anisetree",1,"No matching allometry"
"TOVE",NA,"poison sumac",1,"No matching allometry"
"VAEL",NA,"Elliott's blueberry",1,"No matching allometry"
"VAPA4",NA,"Blue Ridge blueberry",1,"No matching allometry"
"VAST",NA,"deerberry",1,"No matching allometry"
"AMCO2",NA,NA,1,"No matching allometry"
"RIMI",NA,"Missouri gooseberry",1,"No matching allometry"
"SYOR",NA,"coralberry",1,"No matching allometry"
"VIRI",NA,"riverbank grape",1,"No matching allometry"
